stop_id,stop_code,stop_name,stop_lat,stop_lon,num_unique_routes,service_id
2286,12078,McCowan Rd at Highway 401,43.7826,-79.2552,6,1
23867,15631,Sheppard Ave West at Vitti St - Downsview Park Station,43.7542,-79.4805,6,1
24465,16040,Eglinton Ave East at Hanna Rd West Side,43.7121,-79.3726,6,1
24806,16123,Eglinton Ave East at Donlea Dr,43.7117,-79.3736,6,1
25059,16680,Ellesmere Rd at Mornelle Crt West Side,43.7848,-79.1963,6,1
25089,16688,York Mills Rd at Valley Woods Rd,43.7594,-79.3328,6,1
2800,3371,Broadview Ave at Danforth Ave,43.6763,-79.359,6,1
3052,7467,York Mills Rd at Chipstead Rd,43.7513,-79.3705,6,1
3115,2978,Overlea Blvd at Don Mills Rd West Side,43.7098,-79.3354,6,1
3132,1654,Wilson Ave at Bathurst St West Side,43.7374,-79.4346,6,1
3169,14278,Pearson Airport Terminal 3 - Arrivals Level Columns C8-C12,43.6868,-79.6209,6,1
3400,2270,Eglinton Ave East at Forman Ave,43.7091,-79.3863,6,1
3442,1769,Broadview Ave at Wolfrey Ave,43.6745,-79.3573,6,1
3457,8868,Wilson Ave at Keele St,43.7264,-79.4824,6,1
3573,7175,Sheppard Ave East at Consumers Rd East Side,43.7749,-79.3307,6,1
3720,1761,Broadview Ave at Millbrook Cres,43.6719,-79.3547,6,1
4049,7699,Ellesmere Rd at Military Trail (East) West Side,43.7865,-79.189,6,1
4194,1033,Eglinton Ave East at Gilder Dr,43.7358,-79.2531,6,1
4197,1760,Broadview Ave at Langley Ave-Hennick Bridgepoint Hospital,43.6681,-79.3533,6,1
4267,6233,Albion Rd at Weston Rd West Side,43.7176,-79.5385,6,1
4343,9343,Meadowvale Loop at Sheppard Ave East,43.8091,-79.1707,6,1
447,13068,Lawrence Ave East at East Ave - Rouge Hill GO Station,43.7808,-79.1314,6,1
4558,1554,St Clair Ave East at Birchmount Rd West Side,43.7141,-79.2718,6,1
4647,8862,Wilson Ave at Jane St,43.7211,-79.5084,6,1
4891,1759,Broadview Ave at Langley Ave-Hennick Bridgepoint Hospital,43.6677,-79.3533,6,1
5041,8861,Wilson Ave at Jane St,43.7208,-79.5088,6,1
5132,4520,Overlea Blvd at Thorncliffe Park Dr (West),43.7048,-79.3499,6,1
5181,2285,Eglinton Ave East at Laird Dr West Side,43.7136,-79.3652,6,1
5200,7705,Ellesmere Rd at Neilson Rd - Scarborough Health Network Centenary Hospital,43.7828,-79.2048,6,1
5251,660,Broadview Ave at Pretoria Ave,43.6785,-79.3585,6,1
