route_long_name,route_short_name,service_id,total_trips,avg_trip_distance_km,avg_duration_min,duration_stddev_min,avg_speed_kmh
VAN HORNE,10,1,41,3.476668354123831,13.3398374,2.308359023803447,15.937238488539878
FLEMINGDON PARK,100,1,305,10.053292624823383,33.65901639,3.916563274731708,18.16972524637827
FLEMINGDON PARK,100,2,255,10.05309506759924,31.66666667,3.4326384219646155,19.27375857626927
FLEMINGDON PARK,100,3,214,10.05717213173336,30.41121495,2.851309818796803,20.017649218298665
FLEMINGDON PARK,100,4,230,10.054300166666508,30.35217391,2.761910108605115,20.04038038665993
DOWNSVIEW PARK,101,1,78,3.5202205162017774,10.28461538,1.144224843768324,20.703656219727502
DOWNSVIEW PARK,101,2,55,3.507074548439546,9.84,1.1757550765359255,21.561727318980477
DOWNSVIEW PARK,101,3,55,3.507074548439546,9.84,1.1757550765359255,21.561727318980477
DOWNSVIEW PARK,101,4,55,3.507074548439546,9.84,1.1757550765359255,21.561727318980477
MARKHAM RD,102,1,419,17.22013915139906,55.03110581,19.60116927608824,18.79999971847564
MARKHAM RD,102,401,1,8.72630000114441,36.0,0.0,14.543833335240683
MARKHAM RD,102,2,393,18.196292155268235,54.4726039,18.43519876937601,19.92793106375501
MARKHAM RD,102,3,357,18.46390705090277,53.34813259,17.201569531124676,20.50804907302038
MARKHAM RD,102,4,360,18.35102504740159,53.02291667,17.542487716665264,20.485972321958
MOUNT PLEASANT NORTH,103,1,99,3.994936276264865,17.05808081,3.0570807613389683,14.45450419025509
MOUNT PLEASANT NORTH,103,2,105,3.9968884839898062,15.42619048,2.2092672264813364,15.81258814192957
MOUNT PLEASANT NORTH,103,3,101,3.99561278389232,15.36386139,1.8936856882114008,15.79112244055766
MOUNT PLEASANT NORTH,103,4,108,3.99766194930783,15.14583333,1.9866816391121107,16.065343153605163
FAYWOOD,104,1,93,7.732497654294455,25.87096774,3.062874489551334,18.202624307885497
FAYWOOD,104,2,106,7.731952634622466,23.38679245,2.6761375811326618,20.087331280686097
FAYWOOD,104,3,86,7.7322998046875,22.6744186,2.576467116326994,20.73212875250689
FAYWOOD,104,4,94,7.7322998046875,22.70212766,2.483262212845348,20.68782084630958
DUFFERIN NORTH,105,1,160,4.552449882030487,13.6,2.3853720883753113,20.653713621603426
DUFFERIN NORTH,105,2,124,4.552449882030487,11.97580645,1.4781402312311864,23.094081145557862
DUFFERIN NORTH,105,3,115,4.554260751475459,11.22608696,1.6046718183518032,24.70305225966824
DUFFERIN NORTH,105,4,128,4.552449882030487,11.1484375,1.5466185077755121,24.83681350349419
SENTINEL,106,1,150,8.215884733200074,26.94666667,2.7851670606187264,18.487481739282753
SENTINEL,106,401,2,5.806599795818329,18.51666667,0.0,18.81526486493788
SENTINEL,106,2,175,8.208137211799622,25.02857143,1.8249965054481503,19.782686775463283
SENTINEL,106,3,164,8.215305554430659,24.98170732,1.3591270556357458,19.78668854254312
SENTINEL,106,4,176,8.205896092409438,24.98295455,1.3119833693954552,19.759336160152916
YORK UNIVERSITY HEIGHTS,107,1,183,6.89880102522712,22.11593807,3.82174808495049,19.14696587023609
YORK UNIVERSITY HEIGHTS,107,2,113,6.62505734204191,18.3539823,1.744373275299913,21.83848740814001
YORK UNIVERSITY HEIGHTS,107,3,101,6.624942394176332,18.3960396,1.8080086300547127,21.80137143228598
YORK UNIVERSITY HEIGHTS,107,4,113,6.62505734204191,18.3539823,1.744373275299913,21.838487408140008
DRIFTWOOD,108,1,215,11.696481104420368,31.88534884,3.7014723754919014,22.25147321377076
DRIFTWOOD,108,6701,10,12.343100219964981,32.1,2.2113344387495983,23.17038412467923
DRIFTWOOD,108,2,189,11.69533879656798,29.77530864,2.9710352634597452,23.742523090881082
DRIFTWOOD,108,3,158,11.6662337179001,28.89504219,2.720132208495321,24.36093949424413
DRIFTWOOD,108,4,173,11.686482252973008,28.56955684,2.5294421736499944,24.670633788602288
RANEE,109,1,115,6.437213910986548,25.64347826,6.462186067521309,15.670550185185924
RANEE,109,2,107,6.598378499256116,24.54205607,3.6205033311250236,16.37807870666283
RANEE,109,3,92,6.622231517472993,24.06521739,3.5959045177211135,16.84148818019474
RANEE,109,4,99,6.6280191880886,24.12121212,3.467810788101809,16.791317580920637
BAYVIEW,11,1,221,9.278742496244508,33.88235294,15.76509420741421,16.22092321456317
BAYVIEW,11,401,3,14.108899881442388,57.66666667,6.236095644623235,14.839745690106497
BAYVIEW,11,2,171,9.462639139932499,29.00584795,11.623980594691764,18.500421613570406
BAYVIEW,11,3,159,9.420255299727872,29.83018868,11.792337106350418,17.987263233711364
BAYVIEW,11,4,159,9.420255299727872,29.83018868,11.792337106350422,17.987263233711364
ISLINGTON SOUTH,110,1,263,7.934001906771397,23.24765526,3.4721764788214786,20.479407475106484
ISLINGTON SOUTH,110,2,183,7.918485238374583,22.28078324,2.214108496824828,21.273187454594765
ISLINGTON SOUTH,110,3,166,7.92274095508528,21.15983936,2.111782519405725,22.32965927879027
ISLINGTON SOUTH,110,4,186,7.91646128360142,21.16783154,2.052921429804413,22.297489232618293
EAST MALL,111,1,161,8.494495850912532,27.41055901,5.129990606351972,18.973850261217525
EAST MALL,111,401,1,4.232699990272522,15.66666667,0.0,16.210340388277743
EAST MALL,111,2,128,8.618413482327014,25.57135417,3.7290031025000308,20.48951481394404
EAST MALL,111,3,123,8.495239223648863,23.97642276,4.004673718747651,21.39955148346322
EAST MALL,111,4,133,8.623500200590692,24.11804511,3.1989621105025616,21.68490429657809
WEST MALL,112,1,186,13.84997006193284,41.54301075,10.885562084849372,19.85966214394728
